 addEventListener_CUSTOM_EVENT
 addEventListener_DOMContentLoaded
 addEventListener_DOMMouseScroll
 addEventListener_abort
 addEventListener_afterprint
 addEventListener_animationend
 addEventListener_animationiteration
 addEventListener_animationstart
 addEventListener_auxclick
 addEventListener_beforeinstallprompt
 addEventListener_beforeprint
 addEventListener_beforescriptexecute
 addEventListener_beforeunload
 addEventListener_blur
 addEventListener_canplay
 addEventListener_canplaythrough
 addEventListener_change
 addEventListener_chargingchange
 addEventListener_chargingtimechange
 addEventListener_click
 addEventListener_compassneedscalibration
 addEventListener_complete
 addEventListener_contextmenu
 addEventListener_copy
 addEventListener_cut
 addEventListener_dblclick
 addEventListener_devicechange
 addEventListener_devicelight
 addEventListener_devicemotion
 addEventListener_deviceorientation
 addEventListener_deviceproximity
 addEventListener_dischargingtimechange
 addEventListener_drag
 addEventListener_dragend
 addEventListener_dragenter
 addEventListener_dragleave
 addEventListener_dragover
 addEventListener_dragstart
 addEventListener_drop
 addEventListener_durationchange
 addEventListener_emptied
 addEventListener_ended
 addEventListener_error
 addEventListener_focus
 addEventListener_focusin
 addEventListener_focusout
 addEventListener_fullscreenchange
 addEventListener_gamepadconnected
 addEventListener_hashchange
 addEventListener_input
 addEventListener_invalid
 addEventListener_keydown
 addEventListener_keypress
 addEventListener_keyup
 addEventListener_levelchange
 addEventListener_load
 addEventListener_loadeddata
 addEventListener_loadedmetadata
 addEventListener_loadstart
 addEventListener_localized
 addEventListener_message
 addEventListener_mousedown
 addEventListener_mouseenter
 addEventListener_mouseleave
 addEventListener_mousemove
 addEventListener_mouseout
 addEventListener_mouseover
 addEventListener_mouseup
 addEventListener_notificationclick
 addEventListener_offline
 addEventListener_online
 addEventListener_orientationchange
 addEventListener_overflow
 addEventListener_pagehide
 addEventListener_pageshow
 addEventListener_paste
 addEventListener_pause
 addEventListener_play
 addEventListener_playing
 addEventListener_pointercancel
 addEventListener_pointerdown
 addEventListener_pointerleave
 addEventListener_pointermove
 addEventListener_pointerover
 addEventListener_pointerup
 addEventListener_popstate
 addEventListener_progress
 addEventListener_push
 addEventListener_ratechange
 addEventListener_readystatechange
 addEventListener_reset
 addEventListener_resize
 addEventListener_scroll
 addEventListener_seeked
 addEventListener_seeking
 addEventListener_select
 addEventListener_show
 addEventListener_stalled
 addEventListener_start
 addEventListener_statechange
 addEventListener_storage
 addEventListener_submit
 addEventListener_suspend
 addEventListener_timeupdate
 addEventListener_touchcancel
 addEventListener_touchend
 addEventListener_touchenter
 addEventListener_touchleave
 addEventListener_touchmove
 addEventListener_touchstart
 addEventListener_transitionend
 addEventListener_transitionstart
 addEventListener_unload
 addEventListener_userproximity
 addEventListener_visibilitychange
 addEventListener_volumechange
 addEventListener_vrdisplayactivate
 addEventListener_vrdisplaydeactivate
 addEventListener_vrdisplaypresentchange
 addEventListener_waiting
 addEventListener_wheel
 call_AnalyserNode.connect
 call_AnalyserNode.disconnect
 call_AnalyserNode.getByteFrequencyData
 call_AnalyserNode.getFloatFrequencyData
 call_AudioContext.close
 call_AudioContext.createAnalyser
 call_AudioContext.createBuffer
 call_AudioContext.createBufferSource
 call_AudioContext.createDelay
 call_AudioContext.createDynamicsCompressor
 call_AudioContext.createGain
 call_AudioContext.createMediaElementSource
 call_AudioContext.createOscillator
 call_AudioContext.createPanner
 call_AudioContext.createScriptProcessor
 call_AudioContext.decodeAudioData
 call_AudioContext.suspend
 call_AudioContext.toString
 call_AudioContext.valueOf
 call_BatteryManager.hasOwnProperty
 call_BatteryManager.removeEventListener
 call_BatteryManager.toString
 call_BatteryManager.valueOf
 call_CanvasRenderingContext2D.__defineSetter__
 call_CanvasRenderingContext2D.__lookupGetter__
 call_CanvasRenderingContext2D.__lookupSetter__
 call_CanvasRenderingContext2D.arc
 call_CanvasRenderingContext2D.arcTo
 call_CanvasRenderingContext2D.bezierCurveTo
 call_CanvasRenderingContext2D.clip
 call_CanvasRenderingContext2D.createImageData
 call_CanvasRenderingContext2D.createLinearGradient
 call_CanvasRenderingContext2D.createPattern
 call_CanvasRenderingContext2D.createRadialGradient
 call_CanvasRenderingContext2D.fill
 call_CanvasRenderingContext2D.fillRect
 call_CanvasRenderingContext2D.fillText
 call_CanvasRenderingContext2D.getImageData
 call_CanvasRenderingContext2D.getLineDash
 call_CanvasRenderingContext2D.hasOwnProperty
 call_CanvasRenderingContext2D.isPointInPath
 call_CanvasRenderingContext2D.measureText
 call_CanvasRenderingContext2D.putImageData
 call_CanvasRenderingContext2D.rect
 call_CanvasRenderingContext2D.restore
 call_CanvasRenderingContext2D.rotate
 call_CanvasRenderingContext2D.save
 call_CanvasRenderingContext2D.scale
 call_CanvasRenderingContext2D.setLineDash
 call_CanvasRenderingContext2D.stroke
 call_CanvasRenderingContext2D.strokeRect
 call_CanvasRenderingContext2D.strokeText
 call_CanvasRenderingContext2D.toString
