wetteronline.de	Orientation		wetteronline.de, wetteronline.at	2	0.0009
britishairways.com	Motion, Orientation	Canvas, WebRTC	britishairways.com, ba.com	2	0.0003
clearstream.tv	Orientation		fashionbeans.com, movietvtechgeeks.com	2	0.0001
johnlewis.com	Orientation		johnlewis.com, johnlewis.co.uk	2	0.0002
mmoframes.com	Orientation		mmoframes.com, myhotzpic.com	2	0.0024
discover.com	Orientation	Canvas, Canvas font	discover.com, discovercard.com	2	0.0012
we-stats.com	Orientation, Motion	AudioContext, WebRTC	banorte.com, ixe.com.mx	2	0.0002
cox.com	Orientation		cox.com, cox.net	2	0.0004
schwab.com	Orientation, Motion	Canvas	schwab.com, schwabplan.com	2	0.0007
eat24.com	Motion		eat24.com, eat24hrs.com	2	0.0001
siemens.com	Orientation		siemens.com, siemens-info.com	2	0.0003
nordstrom.com	Orientation, Motion	Canvas	nordstrom.com, nordstrom.net	2	0.0011
porn300.com	Orientation		serviporno.com, pornodrome.tv	2	0.0005
epson.eu	Proximity		epson.eu, epson-europe.com	2	0.0
westernunion.com	Orientation	Canvas, Canvas font, AudioContext, WebRTC	westernunion.com, wu.com	2	0.0003
fncstatic.com	Orientation		foxnews.com, foxbusiness.com	2	0.0043
mycanal.fr	Motion, Orientation	Canvas	mycanal.fr, canal-plus.com	2	0.0002
vroptimal-3dx-assets.com	Orientation		tucasa.com, sievent.com	2	0.0
e-consulta.com	Orientation		e-consulta.com	1	0.0
anthropologie.com	Orientation, Motion	Canvas	anthropologie.com	1	0.0002
carhartt.com	Orientation, Motion	Canvas	carhartt.com	1	0.0
dutchbanglabank.com	Orientation, Motion, Light	Canvas, WebRTC	dutchbanglabank.com	1	0.0
smashcast.tv	Orientation		gosugamers.net	1	0.0001
adidas.de	Orientation, Motion	Canvas	adidas.de	1	0.0001
zalora.com.tw	Orientation, Motion	Canvas	zalora.com.tw	1	0.0
btstatic.com	Orientation		subaru.com	1	0.0001
