adcanvas.com	Motion, Orientation		playtech.ro, europafm.ro	2	0.0001	2
radial.com	Light, Motion, Orientation	Canvas, Canvas font, WebRTC	gnc.com, hibbett.com	2	0.0001	2
groupon.com	Motion, Orientation	Canvas	groupon.com, groupon.hk	2	0.0015	3
wetteronline.de	Orientation		wetteronline.de, wetteronline.at	2	0.0009	2
britishairways.com	Motion, Orientation	Canvas, WebRTC	britishairways.com, ba.com	2	0.0003	4
clearstream.tv	Orientation		fashionbeans.com, movietvtechgeeks.com	2	0.0001	2
johnlewis.com	Orientation		johnlewis.com, johnlewis.co.uk	2	0.0002	3,2
mmoframes.com	Orientation		mmoframes.com, myhotzpic.com	2	0.0024	7
discover.com	Orientation	Canvas, Canvas font	discover.com, discovercard.com	2	0.0012	4
we-stats.com	Orientation, Motion	AudioContext, WebRTC	banorte.com, ixe.com.mx	2	0.0002	2
cox.com	Orientation		cox.com, cox.net	2	0.0004	2
schwab.com	Orientation, Motion	Canvas	schwab.com, schwabplan.com	2	0.0007	3
eat24.com	Motion		eat24.com, eat24hrs.com	2	0.0001	3
siemens.com	Orientation		siemens.com, siemens-info.com	2	0.0003	2
nordstrom.com	Orientation, Motion	Canvas	nordstrom.com, nordstrom.net	2	0.0011	3
porn300.com	Orientation		serviporno.com, pornodrome.tv	2	0.0005	6
epson.eu	Proximity		epson.eu, epson-europe.com	2	0.0	5
westernunion.com	Orientation	Canvas, Canvas font, AudioContext, WebRTC	westernunion.com, wu.com	2	0.0003	4
fncstatic.com	Orientation		foxnews.com, foxbusiness.com	2	0.0043	3
mycanal.fr	Motion, Orientation	Canvas	mycanal.fr, canal-plus.com	2	0.0002	3
vroptimal-3dx-assets.com	Orientation		tucasa.com, sievent.com	2	0.0	2
e-consulta.com	Orientation		e-consulta.com	1	0.0	6
anthropologie.com	Orientation, Motion	Canvas	anthropologie.com	1	0.0002	3
carhartt.com	Orientation, Motion	Canvas	carhartt.com	1	0.0	3
dutchbanglabank.com	Orientation, Motion, Light	Canvas, WebRTC	dutchbanglabank.com	1	0.0	4
smashcast.tv	Orientation		gosugamers.net	1	0.0001	2
adidas.de	Orientation, Motion	Canvas	adidas.de	1	0.0001	3
zalora.com.tw	Orientation, Motion	Canvas	zalora.com.tw	1	0.0	3
btstatic.com	Orientation		subaru.com	1	0.0001	2
iberia.com	Orientation	Canvas, Canvas font	iberia.com	1	0.0001	4
vans.de	Orientation, Motion	Canvas	vans.de	1	0.0	3
nireeka.com	Orientation		nireeka.com	1	0.0	7
ae.com	Orientation, Motion	Canvas	ae.com	1	0.0003	3
dsw.com	Orientation, Motion	Canvas	dsw.com	1	0.0002	3
